50 141
86 29 97.636072
53 46 95.651830
84 83 51.972656
96 97 67.562723
42 48 90.275167
4 6 59.768129
29 78 70.004199
50 87 59.218064
95 64 76.435366
35 58 89.943502
7 89 75.811971
85 50 96.817412
44 8 90.794244
31 13 51.975423
59 40 52.424722
54 31 60.071155
35 68 98.609683
0 98 86.349338
3 6 53.136199
19 96 75.261650
11 66 71.457910
27 72 67.075420
83 91 51.496564
17 1 56.910989
2 31 97.576078
95 23 88.900091
98 32 72.942719
58 28 94.322059
66 32 73.343199
58 71 72.370187
30 92 85.344755
52 36 54.119254
33 50 79.475277
40 57 58.123768
16 28 89.975992
85 80 84.698642
2 14 55.208318
63 50 66.361135
48 55 59.435839
44 6 73.373457
11 69 76.762613
88 61 62.597644
1 52 88.721537
45 6 69.565697
15 54 99.536083
14 20 57.633847
10 70 88.858064
2 63 96.610394
62 69 63.607335
43 5 55.416980
0 45 60.305462 72.560320
0 41 84.981917 32.062439
0 30 74.534622 84.291162
0 26 76.433548 12.369317
0 11 74.893070 21.023796
1 48 83.412683 24.698178
1 38 63.497932 10.295630
1 33 92.790617 17.029386
1 31 96.500002 10.049876
1 27 80.495253 18.681542
1 26 62.496456 47.127487
1 13 99.282642 39.661064
1 12 60.263348 39.051248
2 43 95.468093 86.313383
2 35 58.973048 3.162278
2 29 60.038900 28.635642
2 26 74.639838 52.886671
2 22 75.893763 8.062258
2 11 92.492900 33.015148
2 8 85.838655 21.954498
3 35 79.160063 20.248457
4 48 73.633577 29.000000
4 40 96.866941 37.443290
4 33 68.245540 9.219544
4 32 72.225152 9.219544
4 31 85.894307 15.620499
4 10 55.399359 53.907328
4 6 78.433830 32.695565
5 34 75.866149 25.059928
5 33 72.436661 62.425956
5 18 85.681759 1.000000
6 40 97.513761 20.124612
6 30 85.055606 14.035669
6 24 65.263560 54.203321
6 21 82.451470 6.324555
6 10 91.581923 24.596748
6 9 73.179829 20.880613
6 7 54.001281 22.847319
7 38 61.840211 32.062439
7 35 78.594080 35.693137
7 20 76.413720 44.294469
8 41 86.985756 7.615773
8 37 63.741633 34.928498
9 46 90.316335 27.730849
9 33 91.851787 5.099020
9 32 98.490790 8.246211
9 31 68.090472 27.802878
9 30 77.753562 34.365681
9 26 77.822592 68.154237
9 18 72.440070 61.057350
9 10 63.113032 41.773197
10 47 84.784939 26.476405
10 43 70.498564 91.285267
10 30 54.664515 23.194827
11 29 62.921580 34.205263
11 28 92.270435 26.172505
11 15 85.621847 36.359318
12 43 63.882179 2.236068
12 13 93.578017 13.928388
13 39 76.621610 14.764823
13 37 53.691939 48.918299
13 31 73.530044 31.144823
13 25 61.363626 64.776539
13 24 88.136322 34.132096
13 21 62.509170 59.135438
13 20 56.224714 56.648036
13 18 81.352482 28.861739
13 15 80.283963 29.206164
14 37 95.456140 10.770330
14 28 74.550116 10.630146
14 27 76.961187 12.041595
14 22 72.037527 56.364883
14 16 87.284280 36.878178
15 48 78.883901 38.832976
15 46 67.356503 58.796258
15 39 54.509860 26.925824
15 38 80.536782 24.738634
15 37 69.051188 21.023796
15 31 70.034515 5.385165
15 27 75.595069 5.000000
15 26 93.275818 44.011362
16 38 62.014218 18.384776
16 35 80.846741 51.419841
16 33 71.886183 12.083046
16 19 57.278212 32.249031
16 17 93.101083 46.097722
17 46 93.576807 29.732137
17 21 57.007414 37.483330
17 19 54.701938 19.104973
18 23 68.192552 14.866069
19 38 72.681716 50.219518
19 33 63.879043 44.294469
19 32 84.373015 48.083261
19 29 72.682864 46.324939
19 21 68.193600 25.298221
20 46 78.393893 4.123106
20 44 91.726682 12.649111
20 40 94.321811 3.000000
20 31 97.179486 50.803543
20 21 86.422103 17.088007
21 48 93.053219 35.128336
21 34 59.473543 45.354162
22 47 93.145151 85.702975
22 35 92.097990 11.180340
22 29 51.720035 32.015621
23 39 93.053630 27.459060
23 36 78.787204 19.849433
23 33 52.603947 60.539243
23 31 97.149390 49.497475
24 40 54.083518 39.051248
24 33 83.373010 46.043458
24 31 65.067192 50.249378
25 33 78.420335 64.660653
28 44 71.988688 55.542776
29 48 91.535788 4.472136
29 41 50.056555 31.622777
30 46 76.709285 29.732137
30 31 64.219597 60.166436
32 47 84.678521 33.615473
32 46 81.727972 30.479501
32 44 52.698139 18.439089
32 43 75.352746 45.607017
32 34 51.644011 27.802878
32 33 75.047704 9.899495
33 45 61.022864 45.221676
33 38 92.432146 8.246211
35 48 94.944350 25.495098
36 47 74.715132 49.000000
37 38 85.387132 15.811388
38 49 68.949089 50.249378
38 48 86.196833 19.798990
39 49 61.733665 1.414214
39 44 75.486712 56.080300
39 43 56.650678 1.000000
40 47 65.028435 10.816654
40 46 51.422788 1.414214
40 42 76.166108 19.723083
41 48 55.954300 27.202941
44 49 62.411207 56.435804
46 49 84.425681 72.897188
48 49 85.797799 66.760767
